Name,BggId,BoxArtUri,MinNrOfPlayers,MaxNrOfPlayers,MinPlayingTime,MaxPlayingTime,RecommendedAge
Galaxy Trucker,31481,https://cf.geekdo-images.com/SI6ig6itvZgDbKhAFZzhpcVfvAQ=/fit-in/246x300/pic260554.jpg,2,4,60,,10
Noxford,206448,https://cf.geekdo-images.com/g55cnmxfs2nYGgS7gYN9AqD7XbI=/fit-in/246x300/pic3135684.png,2,4,20,40,8
Arboretum,140934,https://cf.geekdo-images.com/Z_6in6_wx4kGuiinSmXy2GJ-Ybg=/fit-in/246x300/pic1926202.jpg,2,4,30,,8
Odin,177736,https://cf.geekdo-images.com/IAIxn2CB7l9cE5UPyXFx35bT5TA=/fit-in/246x300/pic3146943.png,1,4,30,120,12
Caverna,102794,https://cf.geekdo-images.com/QwBOuD-kVtDTkowpVQldIFv46m8=/fit-in/246x300/pic1790789.jpg,1,7,30,120,12
Agricola,31260,https://cf.geekdo-images.com/MkVLwT3DDgaauwZzLMpgrC7uaX8=/fit-in/246x300/pic259085.jpg,1,5,30,150,12
Oracle of Delphi,193558,https://cf.geekdo-images.com/enb6sJHbf_rN9pxgMSA942NCh3c=/fit-in/246x300/pic3126511.jpg,2,4,70,100,12
Russian Railroads,144733,https://cf.geekdo-images.com/K-59vHkQA06hdt-vKjkgLBLDGCQ=/fit-in/246x300/pic1772936.jpg,2,4,90,120,12
Dokmus,199793,https://cf.geekdo-images.com/oKu34kn_2G5LYmb_n11_A_OVMdI=/fit-in/246x300/pic3011963.jpg,2,4,20,40,10
Raptor,177639,https://cf.geekdo-images.com/8ixto0VaFd6sE11Eoi4olp3Vl9I=/fit-in/246x300/pic2520016.jpg,2,,25,,9
Pay Dirt,125050,https://cf.geekdo-images.com/yGEdxWPo5Re470TRPHk6JO9-t4c=/fit-in/246x300/pic1829538.jpg,2,5,90,,13
Mombasa,172386,https://cf.geekdo-images.com/NtM4oP3z_8D6Sw9TEcXGjAgdtYU=/fit-in/246x300/pic2611318.jpg,2,4,75,150,12
Tzolk'in,126163,https://cf.geekdo-images.com/mtzK53c4pMNP5tlK_ND5KAY0kJk=/fit-in/246x300/pic1413480.jpg,2,4,90,,13
Five Tribes,157354,https://cf.geekdo-images.com/o3D15fBxzTt3k2IFZ2u2Xr7Wlyk=/fit-in/246x300/pic2055255.jpg,2,4,40,80,13
Roll For The Galaxy,132531,https://cf.geekdo-images.com/Vi3pvbq9sLk_OHzxio8lzjB_77k=/fit-in/246x300/pic1473629.jpg,2,5,45,,13
Archipelago,105551,https://cf.geekdo-images.com/I96lPKzPCNtOY95oAaPXnJdPW8w=/fit-in/246x300/pic1640388.jpg,2,5,30,240,14
Alchemists,161970,https://cf.geekdo-images.com/mca3Duh6XHjf8I-aXWHr9xDXuEM=/fit-in/246x300/pic2241156.png,2,4,120,,13
Lancaster,96913,https://cf.geekdo-images.com/heLnQUcoPY60xhcWunu91usEVmM=/fit-in/246x300/pic1280761.jpg,2,5,60,,10
Monopoly,1406,https://cf.geekdo-images.com/YvW2EPxe_WoxJam3n_fKqNb_ZFo=/fit-in/246x300/pic2748156.jpg,2,8,60,180,8
Porta Nigra,172385,https://cf.geekdo-images.com/KBG4_LzfVYOmTF1ckJnQzDPaLTk=/fit-in/246x300/pic3060256.jpg,2,4,75,120,12
Posthuman,171835,https://cf.geekdo-images.com/ksA96Xfeyx5TNmTHDzpksMSNpB0=/fit-in/246x300/pic2718965.jpg,1,4,30,120,13
Star Realms,147020,https://cf.geekdo-images.com/OvrUBlZ7dKZSPy5vYTJKgSmhGMU=/fit-in/246x300/pic1903816.jpg,2,,20,,12
Weerwolven,25821,https://cf.geekdo-images.com/rAA3_sSmYuiQ4E2ZTMm3C93JMNU=/fit-in/246x300/pic510856.jpg,8,18,30,,10
Kakkerlakkenpoker,129736,https://cf.geekdo-images.com/9B6rF6i8SHwetquV2Hxis0DeCK0=/fit-in/246x300/pic2906512.png,2,6,15,25,8
Dieven,171620,https://cf.geekdo-images.com/3g5VuUcreD5X3XjoMtKWXRPwqms=/fit-in/246x300/pic2623297.jpg,3,6,20,,8
Saboteur,9220,https://cf.geekdo-images.com/avcBn0vZBA1Ygfq4N2B0AmU6hgc=/fit-in/246x300/pic2602139.jpg,3,10,30,,8
Medina,1261,https://cf.geekdo-images.com/B-wSNCpAyPGaSbKyzUTK50mKDkM=/fit-in/246x300/pic580033.jpg,3,4,60,,10
Power Grid Card Game,203780,https://cf.geekdo-images.com/_5o_7_AwX1EQKUxV_kNGl1AdADo=/fit-in/246x300/pic3091756.jpg,2,6,45,60,12
Pints of Blood,157673,https://cf.geekdo-images.com/JYprQOlf1Q0yh96AqUns4ZuPA1g=/fit-in/246x300/pic1986091.jpg,2,4,45,,14
Ticket to Ride,21348,https://cf.geekdo-images.com/yGPIT6AhGTdwS8IzZv1Ryy40ZqY=/fit-in/246x300/pic162026.jpg,2,5,30,60,8
Marco Polo,171623,https://cf.geekdo-images.com/__SI9d5-maTfWGscsqpN5JsI9CQ=/fit-in/246x300/pic2461346.png,2,4,40,100,12
Fresco,66188,https://cf.geekdo-images.com/kwHKNgXGO1MdbRJaq2o4-SHbLYk=/fit-in/246x300/pic714398.jpg,2,4,60,,10
Trickerion,163068,https://cf.geekdo-images.com/7jrn9PSdqrAo4aa2vvg2N3a7Uv8=/fit-in/246x300/pic2585510.png,2,4,60,120,14
Trivial Pursuit,2952,https://cf.geekdo-images.com/mINTvj-psGjiMlFt40EkAfFLz-c=/fit-in/246x300/pic387612.jpg,2,24,90,,12
Nautilus,3154,https://cf.geekdo-images.com/_0xZbaffckU-IkHSvZBKcYfP7aM=/fit-in/246x300/pic311414.jpg,2,4,120,,12
Kolonisten,13,https://cf.geekdo-images.com/aozRplCSOpRucLxSuClX2odEUBQ=/fit-in/246x300/pic2419375.jpg,3,4,60,120,10
Avalon,128862,https://cf.geekdo-images.com/yottt6aVvGBSOp3D0k4dno5_n3Y=/fit-in/246x300/pic1398895.jpg,5,10,30,,13
Nox,123370,https://cf.geekdo-images.com/2N9g4kD0TgZGOv8fRqJ_gUlCIfk=/fit-in/246x300/pic1283648.jpg,2,6,20,,10
Machiavelli,478,https://cf.geekdo-images.com/JWp5oNSep3K2vb9AlShhxO12zG0=/fit-in/246x300/pic3239104.jpg,2,8,20,60,10
Frank's Zoo,340,https://cf.geekdo-images.com/hyUCzyQqqY3eOHhsSd7PIeW9dzc=/fit-in/246x300/pic197395.jpg,3,7,60,,10
Carcassonne,822,https://cf.geekdo-images.com/IH6ugGHtABoMshU9IpZjruk_cds=/fit-in/246x300/pic2337577.jpg,2,5,30,45,8
El Gaucho,162823,https://cf.geekdo-images.com/fTSXnIPakZxjMFxxjLMvxww9KeE=/fit-in/246x300/pic2235441.jpg,2,4,60,,10